,0,1,2
0,上海,32679,2418
1,北京,30320,2171
2,深圳,24691,1
3,广州,23000,2
4,重庆,20363,3372
5,天津,18809,1557
6,苏州,18597,1
7,成都,15342,1
8,武汉,14847,1
9,杭州,13500,1
10,南京,12820,2
11,青岛,12561,1
12,长沙,11527,1
13,无锡,11438,3
14,宁波,10745,2
15,佛山,10550,3
16,郑州,10200,1
17,济南,8862,2
18,泉州,8467,1
19,南通,8427,4
20,西安,8349,1
21,东莞,8300,4
22,烟台,8006,3
23,福州,7856,2
24,大连,7825,1
25,合肥,7822,1
26,唐山,7159,1
27,长春,7085,1
28,常州,7050,5
29,哈尔滨,7002,1
30,石家庄,6963,2
31,潍坊,6805,4
32,徐州,6755,6
33,沈阳,6350,2
34,温州,6006,3
35,盐城,5487,7
36,扬州,5466,8
37,绍兴,5416,4
38,昆明,5350,1
39,淄博,5292,5
40,南昌,5274,1
41,泰州,5107,9
42,济宁,4930,6
43,台州,4874,5
44,嘉兴,4871,6
45,厦门,4791,3
46,临沂,4750,7
47,洛阳,4640,2
48,东营,4507,8
49,南宁,4480,1
50,襄阳,4309,2
51,惠州,4150,5
52,金华,4127,7
53,宜昌,4064,3
54,镇江,4050,10
55,威海,3949,9
56,沧州,3944,3
57,漳州,3941,4
58,太原,3884,1
59,榆林,3848,2
60,邯郸,3846,4
61,贵阳,3800,1
62,"<span data-code='600295,1,1' data-type='1' class='zwstock'><a href=""http://quote.eastmoney.com/SH600295.html"">鄂尔多斯</a></span>",3763,1
63,中山,3759,6
64,泰安,3721,10
65,包头,3660,2
66,淮安,3601,11
67,岳阳,3489,2
68,常德,3400,3
69,保定,3396,5
70,德州,3380,11
71,聊城,3348,12
72,衡阳,3288,4
73,芜湖,3279,2
74,菏泽,3202,13
75,廊坊,3194,6
76,乌鲁木齐,3184,1
77,南阳,3176,3
78,茂名,3110,7
79,湛江,3012,8
80,吉林,2989,2
81,珠海,2966,9
82,江门,2900,10
83,柳州,3083,2
84,许昌,2835,4
85,赣州,2831,2
86,大庆,2800,2
87,滨州,2787,14
88,株洲,2781,5
89,"<span data-code='601008,1,1' data-type='1' class='zwstock'><a href=""http://quote.eastmoney.com/SH601008.html"">连云港</a></span>",2771,12
90,宿迁,2750,13
91,湖州,2719,8
92,九江,2700,3
93,周口,2687,5
94,<strong>兰州,2582,1
95,新乡,2526,6
96,郴州,2427,6
97,枣庄,2402,15
